epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,731.913,0.92974,1.93904,1.43095,0.50398,0.5467,0.50409,0.32515,1.10335,2.55772,1.55248,0.000665123,0.000665123,0.000665123
2,1470.49,0.8814,1.50389,1.39095,0.56142,0.62826,0.58026,0.4016,1.03797,1.58534,1.4761,0.00130542,0.00130542,0.00130542
3,2229.13,0.84582,1.37436,1.3555,0.61653,0.60521,0.61428,0.43846,0.97496,1.52875,1.37394,0.00191932,0.00191932,0.00191932
4,2911.81,0.83103,1.2941,1.35371,0.56858,0.61022,0.53057,0.38983,0.94145,1.5329,1.37446,0.0018812,0.0018812,0.0018812
5,3589.58,0.7642,1.19895,1.30912,0.604,0.67435,0.55316,0.41267,0.80073,1.49512,1.23404,0.0018416,0.0018416,0.0018416
6,4268.04,0.74308,1.14417,1.28619,0.69096,0.69897,0.69438,0.54547,0.7751,1.23105,1.15863,0.001802,0.001802,0.001802
7,4944.81,0.70745,1.09343,1.26088,0.72634,0.71543,0.75049,0.57941,0.83079,1.07113,1.23566,0.0017624,0.0017624,0.0017624
8,5621.87,0.67011,1.04744,1.24111,0.71578,0.72244,0.73265,0.55367,0.83606,1.11576,1.22396,0.0017228,0.0017228,0.0017228
9,6297.13,0.65826,1.01061,1.22646,0.74234,0.75347,0.77114,0.61929,0.74175,1.01463,1.1527,0.0016832,0.0016832,0.0016832
10,6972.42,0.63333,0.97257,1.21438,0.75393,0.71844,0.73128,0.60206,0.7097,0.9979,1.12246,0.0016436,0.0016436,0.0016436
11,7646.5,0.61871,0.94904,1.20213,0.75258,0.75891,0.77324,0.60605,0.79364,0.9503,1.1883,0.001604,0.001604,0.001604
12,8319.8,0.62503,0.94999,1.21452,0.75591,0.78758,0.78644,0.61962,0.75691,0.92521,1.15028,0.0015644,0.0015644,0.0015644
13,8993.07,0.61149,0.93677,1.19574,0.7415,0.76052,0.76334,0.60907,0.69856,0.95251,1.1069,0.0015248,0.0015248,0.0015248
14,9667.91,0.58552,0.91167,1.18732,0.78366,0.78762,0.78876,0.65141,0.63882,0.87348,1.06333,0.0014852,0.0014852,0.0014852
15,10342.4,0.57495,0.88254,1.17981,0.77433,0.8016,0.80422,0.67411,0.58566,0.84192,0.99561,0.0014456,0.0014456,0.0014456
16,11019.1,0.55985,0.86375,1.16168,0.78636,0.79058,0.79255,0.66766,0.5942,0.83228,0.99841,0.001406,0.001406,0.001406
17,11696.9,0.56199,0.85585,1.16822,0.77004,0.81663,0.79709,0.68125,0.56483,0.8066,0.98132,0.0013664,0.0013664,0.0013664
18,12376.3,0.5538,0.8594,1.16682,0.75937,0.79158,0.81744,0.68245,0.59734,0.81225,1.01507,0.0013268,0.0013268,0.0013268
19,13056.4,0.54689,0.8411,1.1687,0.76976,0.78391,0.78836,0.66536,0.58655,0.82499,1.00014,0.0012872,0.0012872,0.0012872
20,13739.9,0.54293,0.82124,1.15601,0.77199,0.79659,0.81681,0.68091,0.59016,0.77806,0.99946,0.0012476,0.0012476,0.0012476
21,14428.4,0.52354,0.81896,1.1378,0.77088,0.80912,0.81587,0.70183,0.53839,0.76774,0.94694,0.001208,0.001208,0.001208
22,15117,0.50826,0.79083,1.12869,0.79886,0.77455,0.79883,0.6975,0.54444,0.76518,0.95155,0.0011684,0.0011684,0.0011684
23,15784.7,0.51392,0.79218,1.13334,0.78782,0.79459,0.82069,0.71297,0.54431,0.7622,0.93647,0.0011288,0.0011288,0.0011288
