epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.084,0.43039,0.7743,1.06767,0.79416,0.81263,0.85381,0.74614,0.43009,2.37795,0.80388,0.000665483,0.000665483,0.000665483
2,1179.44,0.4586,0.75293,1.08059,0.80178,0.78626,0.84378,0.74156,0.44434,1.51125,0.80625,0.00126621,0.00126621,0.00126621
3,1736.4,0.47417,0.77722,1.09174,0.81844,0.78592,0.83906,0.73204,0.48979,1.89121,0.84589,0.00180093,0.00180093,0.00180093
4,2291.88,0.48079,0.75352,1.09683,0.81329,0.81162,0.8403,0.74163,0.43639,2.36953,0.80779,0.001703,0.001703,0.001703
5,2807.62,0.45956,0.74948,1.08359,0.82175,0.80375,0.84618,0.73274,0.46389,1.85524,0.81921,0.001604,0.001604,0.001604
6,3302.49,0.46698,0.74131,1.08451,0.79424,0.81609,0.8496,0.74001,0.45426,1.32323,0.81287,0.001505,0.001505,0.001505
7,3816.76,0.45921,0.72077,1.08439,0.82409,0.82147,0.8521,0.74699,0.43832,1.60566,0.80516,0.001406,0.001406,0.001406
8,4322.52,0.44982,0.7226,1.08164,0.82177,0.79464,0.85263,0.74656,0.45369,1.26451,0.80678,0.001307,0.001307,0.001307
9,4861.07,0.45005,0.71553,1.07456,0.81567,0.81141,0.84549,0.74244,0.45083,1.16337,0.80639,0.001208,0.001208,0.001208
10,5422.7,0.44362,0.70485,1.07495,0.80568,0.80361,0.8528,0.74257,0.43531,1.09723,0.79102,0.001109,0.001109,0.001109
11,5939.27,0.4023,0.61885,1.05956,0.80786,0.80047,0.85378,0.74185,0.45508,1.14002,0.80924,0.00101,0.00101,0.00101
12,6474.35,0.3985,0.60382,1.05062,0.82208,0.80561,0.84408,0.74145,0.45076,1.43015,0.79769,0.000911,0.000911,0.000911
13,7132.71,0.38175,0.58321,1.03709,0.81774,0.81162,0.85495,0.75664,0.44445,1.30484,0.79565,0.000812,0.000812,0.000812
14,7719.64,0.38158,0.57719,1.04572,0.80629,0.82565,0.85841,0.75657,0.42603,1.31728,0.78057,0.000713,0.000713,0.000713
15,8282.63,0.35809,0.55171,1.02075,0.82258,0.8223,0.84993,0.75279,0.41619,1.03541,0.78779,0.000614,0.000614,0.000614
16,8793.14,0.35009,0.54101,1.01685,0.80744,0.83194,0.85626,0.75726,0.41235,1.20275,0.77748,0.000515,0.000515,0.000515
17,9283.75,0.33878,0.52273,1.0014,0.81697,0.82766,0.8569,0.75389,0.4102,1.01344,0.78177,0.000416,0.000416,0.000416
18,9815.64,0.33668,0.52516,1.00556,0.8227,0.82565,0.86187,0.76169,0.40719,0.86678,0.76943,0.000317,0.000317,0.000317
19,10372.2,0.32216,0.50715,0.99058,0.82305,0.82026,0.86192,0.76414,0.39867,1.06656,0.76455,0.000218,0.000218,0.000218
20,10882.3,0.32649,0.50483,1.00167,0.82108,0.82565,0.86023,0.76321,0.40885,1.05091,0.7682,0.000119,0.000119,0.000119
